Start,Mean,Group,Summary
1343050003,1343355849,0,RT @swimmerproblemz: This is so hard too choose from! i just saying im going for all usa swimmers. #London2012 #usa #usaswimming sp ...
1343424404,1343443647,1,This ——> RT @mikelgustafson: NBC really needs a week-long swimming-only cable channel. #London2012
1343459510,1343470157,2,RT @joelmchale: Thanks for the interview #MichaelPhelps. Good luck. #swim #swimming #speedo #water #wet #Olympics
1343496004,1343502020,3,RT @georgie_hawkes: watching the swimming is actually making me want to train :') #london2012
1343503322,1343503840,4,RT @DevonRobins: Sorry to all my non-swimming followers, I'm warning you now - you will hate me for the next week. #London2012
1343516284,1343516938,5,RT @BBCNews: #London2012 organisers are investigating why hundreds of seats left empty in a swimming session #BBC2012
1343518261,1343524235,6,RT @BBCNews: Follow the swimming final and all #London2012 sports – LIVE blog LIVE video (UK only) ...
1343524984,1343525471,7,WOOHOO!!!!!! RT @Olympics: @MichaelPhelps gets started #swimming #olympics
1343528281,1343528303,8,RT @Olympics: @MichaelPhelps gets started #swimming #olympics
1343528941,1343529054,9,RT @Olympics: @MichaelPhelps gets started #swimming #olympics
1343529781,1343529987,10,RT @AmyCim: RT @Olympics: @MichaelPhelps gets started #swimming #olympics
1343530683,1343530733,11,RT @christophclarey: Sun Yang of China wins the 400 free, 1st Chinese man ever to win an Olympic swimming gold medal. Screaming with del ...
1343530862,1343530960,12,RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics I'm a genius.
1343530981,1343531002,13,THANKS FOR RUINING IT. RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343532063,1343532073,14,RT @samkellymusic: um... is anyone else giggling like a child every time the swimming commentator says 'she's a great breast stroker...' ...
1343532241,1343532251,15,RT @Poppa_Lu: RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343534523,1343535026,16,😥 RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343536081,1343536132,17,RT @SportsCenter: Ryan Lochte wins gold, Michael Phelps 4th in swimming 400m individual medley at London #Olympics
1343540406,1343540461,18,RT @piersmorgan: These empty corporate sponsor seats at swimming etc are a total bloody disgrace. Sort it out, Lord Coe. #London2012
1343540821,1343540823,19,RT @piersmorgan: These empty corporate sponsor seats at swimming etc are a total bloody disgrace. Sort it out, Lord Coe. #London2012
1343541662,1343541669,20,RT @piersmorgan: These empty corporate sponsor seats at swimming etc are a total bloody disgrace. Sort it out, Lord Coe. #London2012
1343553843,1343554217,21,RT @KimberlyBack: I bet Michael Phelps has bad breath. You can't have teeth like that and have good breath. #Olympics #swimming
1343555222,1343555929,22,RT @Amanda_Ramsey2: Hey Ryan, marry me? <3 #daaammnn #ryanlochte #teamusa #swimming #olympics
1343556963,1343557343,23,RT @whitehouse: Photo: The First Lady waves an American flag & cheers on #TeamUSA at the #Olympics #swimming events today: ...
1343558221,1343558223,24,RT @whitehouse: Photo: The First Lady waves an American flag & cheers on #TeamUSA at the #Olympics #swimming events today: ...
1343560081,1343560088,25,RT @DonovanWoods: During the swimming races, they should have one lane with a regular guy in it. Just for perspective. I bet it'd be min ...
1343560742,1343560742,26,RT @DonovanWoods: During the swimming races, they should have one lane with a regular guy in it. Just for perspective. I bet it'd be min ...
1343562902,1343563022,27,RT @DonovanWoods: During the swimming races, they should have one lane with a regular guy in it. Just for perspective. I bet it'd be min ...
1343581383,1343582488,28,RT @STcom: Tao Li has broken her own national record in the 100m backstroke at the #Olympics, swimming 1:01.60. But she does not make th ...
1343586854,1343586862,29,RT @piersmorgan: These empty corporate sponsor seats at swimming etc are a total bloody disgrace. Sort it out, Lord Coe. #London2012
1343589603,1343591609,30,RT @johnrobb77: lots of empty seats for the Olympics swimming- give them away free to local kids then... #olympics
1343611742,1343612920,31,RT @ReutersSports: Medal events in three sports left today: weightlifting, fencing & swimming. Here's when to watch them... ...
1343615101,1343616138,32,RT @chrisnickinson: I love the individual introductions for swimming. Great production presentation others could learn from. #london2012
1343616361,1343617180,33,RT @Staceisace6: I love watching the swimming events #London2012
1343618161,1343618175,34,RT @Rudy_Owens: water polo is super intense. thank god our sport has nothing to do with swimming. i would want to cry #USA #olympics
1343618282,1343618345,35,Come on Becky!!!! #London2012 #swimming
1343618461,1343618560,36,Come On Rebecca Adlington!!! #TeamGB #swimming #London2012 #Olympics
1343618762,1343618922,37,RT @SkySports: Rebecca Adlington has won a bronze medal in the women’s 400m freestyle. More on site soon. #swimming #London2012
1343619181,1343619181,38,RT @SkySports: Rebecca Adlington has won a bronze medal in the women’s 400m freestyle. More on site soon. #swimming #London2012
1343619601,1343619602,39,RT @NBCOlympics: RECAP: @usaswimming's @danavollmer wins gold in the 100m fly, breaks world record in 55.98 seconds: ...
1343620862,1343620926,40,RT @alexdeakin: Whoever designed the Russian tracksuit should be dope tested #swimming #Olympics
1343621221,1343621245,41,RT @ReutersSports: Medal Alert: Team France wins the gold in men’s 4x100 swimming freestyle #London2012
1343621281,1343621353,42,RT @FIRDAUSxo: OMG the French caught up!! Ahhh man that guy's a fish #swimming #london2012
1343621401,1343621447,43,RT @connorwigley: This is the only bath the French olympics team will be having over the next month.. #smellycountry #swimming #london2012
1343621521,1343621779,44,RT @Reuters: RT @ReutersSports: Medal Alert: Team France wins the gold in men’s 4x100 swimming freestyle #London2012
1343621942,1343621965,45,RT @ReutersSports: Medal Alert: Team France wins the gold in men’s 4x100 swimming freestyle #London2012
1343622482,1343622892,46,RT @EmAtack: Watching the swimming. Love the little under water flip they do when they're turning around. Tried that once. Headbutted th ...
1343624886,1343624990,47,RT @Queen_UK: Hello... Yes, this is the Queen... Bronze?! In swimming?! #olympics
1343635201,1343635498,48,RT @OutfielderLife: Dana Volmer gold medal and world record in swimming! #USA #Olympics
1343635801,1343635836,49,RT @OutfielderLife: Dana Volmer gold medal and world record in swimming! #USA #Olympics
1343638861,1343639576,50,RT @BridgeBow: I sat through 2 hours of diving/swimming for you gymnasts so make me a proud American 🇺🇸🇺🇸🇺🇸 YOU GUYS ARE AWESOME #Olympics
1343640125,1343641634,51,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343641681,1343641681,52,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343641861,1343641861,53,RT @UpdateOlympics: RT if you're watching swimming #Olympics
1343642041,1343642124,54,RT @UpdateOlympics: RT if you're watching swimming #Olympics Shared via Tweetcaster
